identifiant_de_l_etablissement,nom_etablissement,nom_commune,code_commune,libelle_departement,statut_public_prive,appartenance_education_prioritaire,date_ouverture,nom_circonscription,categorie
0620738R,Ecole primaire publique mixte RPI 23,Neuville-Vitasse,62611,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré d'Arras 2,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621436Z,Ecole primaire RPI 76,Neuvireuil,62612,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré d'Arras 3,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0624260U,Ecole élémentaire publique RPI 75,Noreuil,62619,Pas-de-Calais,Public,,2002-09-01,Circonscription d'inspection du 1er degré d'Arras 2,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0622054W,Ecole primaire RPI 48,Nuncq-Hautecôte,62631,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Saint Pol sur Ternoise,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621606J,Ecole élémentaire de la Crequoise RPI 18,Offin,62635,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Hesdin,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621865R,Ecole primaire publique RPI 116,Ouve-Wirquin,62644,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Saint Omer 1,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621224U,Ecole élémentaire RPI 71,Parenty,62648,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Hesdin,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0622057Z,Ecole primaire Vallée de la Ternoise RPI 87,Pierremont,62655,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Saint Pol sur Ternoise,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620659E,Ecole élémentaire La Fontaine RPI 57,Pommier,62664,Pas-de-Calais,Public,,1966-09-01,Circonscription d'inspection du 1er degré d'Arras 4,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620660F,Ecole primaire RPI 24,Puisieux,62672,Pas-de-Calais,Public,,1966-09-01,Circonscription d'inspection du 1er degré d'Arras 4,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621868U,Ecole primaire RPI 132,Quelmes,62674,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Saint Omer 1,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620897N,Ecole primaire du Verval RPI 80,Quesques,62678,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré d'Etaples,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621262K,Ecole primaire Val de Liane RPI 88,Questrecques,62679,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré d'Etaples,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620721X,Ecole élémentaire RPI 99,Ransart,62689,Pas-de-Calais,Public,,1966-09-01,Circonscription d'inspection du 1er degré d'Arras 2,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621997J,Ecole élémentaire RPI 8,Regnauville,62700,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Hesdin,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621893W,Ecole primaire RPI 135,Rely,62701,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Béthune 2,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621870W,Ecole élémentaire RPI 116,Remilly-Wirquin,62702,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Saint Omer 1,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621766H,Ecole primaire du Centre RPI 141,Renty,62704,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Saint Omer 1,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620765V,Ecole élémentaire Sensée Cojeul RPI 54,Rémy,62703,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré d'Arras 2,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621829B,Ecole élémentaire du Donjon RPI 124,Sachin,62732,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Saint Pol sur Ternoise,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0624215V,Ecole élémentaire RPI 138,Sailly-Au-Bois,62733,Pas-de-Calais,Public,,1997-09-01,Circonscription d'inspection du 1er degré d'Arras 4,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621793M,Ecole élémentaire RPI 40,Sains-Lès-Fressin,62738,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Hesdin,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620860Y,Ecole primaire RPI 105,Saint-Inglevert,62751,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Marquise,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0624170W,Ecole primaire publique RPI 55,Saint-Léger,62754,Pas-de-Calais,Public,,1996-09-01,Circonscription d'inspection du 1er degré d'Arras 2,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620898P,Ecole primaire RPI des deux monts (RPI 153),Saint-Martin-Choquel,62759,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré d'Etaples,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620535V,Ecole élémentaire RPI 37,Sapignies,62776,Pas-de-Calais,Public,,1966-09-01,Circonscription d'inspection du 1er degré d'Arras 2,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620771B,Ecole primaire RPI 158,Saudemont,62782,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré d'Arras 2,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621610N,Ecole primaire RPI 63,Saulchoy,62783,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Hesdin,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620899R,Ecole primaire RPI 78,Selles,62786,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré d'Etaples,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0622064G,Ecole élémentaire RPI 129,Siracourt,62797,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Saint Pol sur Ternoise,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621831D,Ecole élémentaire RPI 103,Tangry,62805,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Saint Pol sur Ternoise,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0622065H,Ecole élémentaire RPI 11,Ternas,62809,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Saint Pol sur Ternoise,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0624298K,Ecole élémentaire publique RPI 90,Torcy,62823,Pas-de-Calais,Public,,2005-09-01,Circonscription d'inspection du 1er degré de Hesdin,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621641X,Ecole primaire RPI 108,Tubersent,62832,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Montreuil,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621230A,Ecole primaire publique RPI 79,Verchocq,62844,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Hesdin,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621271V,Ecole élémentaire RPI 72,Verlincthun,62845,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré d'Etaples,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620902U,Ecole élémentaire La Calique RPI 45,Vieil-Moutier,62853,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré d'Etaples,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0624229K,Ecole primaire RPI 94,Villers-Au-Flos,62855,Pas-de-Calais,Public,,1997-09-01,Circonscription d'inspection du 1er degré d'Arras 2,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621927H,Ecole élémentaire l'Orée du Ternois RPI 58,Villers-Châtel,62857,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré d'Arras 4,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620773D,Ecole maternelle RPI 65,Villers-Lès-Cagnicourt,62858,Pas-de-Calais,Public,,1995-09-01,Circonscription d'inspection du 1er degré d'Arras 2,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620861Z,Ecole élémentaire RPI 93,Wacquinghen,62867,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Marquise,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0620725B,Ecole primaire RPI 51,Wanquetin,62874,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré d'Arras 4,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621880G,Ecole primaire du Centre RPI 131,Wismes,62897,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Saint Omer 1,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0622754G,Ecole primaire RPI 36,Ytres,62909,Pas-de-Calais,Public,,1971-09-01,Circonscription d'inspection du 1er degré d'Arras 2,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
0621232C,Ecole primaire RPI 156,Zoteux,62903,Pas-de-Calais,Public,,1967-09-01,Circonscription d'inspection du 1er degré de Hesdin,site multi-niveaux / RPI (IPS souvent sous un autre UAI)
