rentree_scolaire;code_region;region;code_de_l_academie;academie;code_du_departement;departement;code_insee_de_la_commune;nom_de_la_commune;uai;secteur;ips;ips_national_prive;ips_national_public;ips_national;ips_academique_prive;ips_academique_public;ips_academique;ips_departemental_prive;ips_departemental_public;ips_departemental;num_ligne;appellation_officielle;libelle_commune;code_departement;code_commune;libelle_departement;libelle_academie;position
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59088;BOIS GRENIER;0593778L;privé sous contrat;137.4;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49631.0;Ecole primaire privée Saint Louis;Bois-Grenier;059;59088;Nord;Lille;50.64834545990325,2.875090520092179
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59641;WARHEM;0593879W;privé sous contrat;112.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49674.0;Ecole primaire privée Notre-Dame;Warhem;059;59641;Nord;Lille;50.97630463632539,2.490440496438241
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59180;LE DOULIEU;0594000C;privé sous contrat;114.6;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49720.0;Ecole primaire privée Louise Jonglez;Le Doulieu;059;59180;Nord;Lille;50.68182925301305,2.7172698645479265
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59269;GOUZEAUCOURT;0594021A;privé sous contrat;103.3;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49727.0;Ecole primaire privée Sacré-Coeur;Gouzeaucourt;059;59269;Nord;Lille;50.05441967549882,3.1176995651476505
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59279;HALLUIN;0594028H;privé sous contrat;112.0;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49732.0;Ecole primaire privée Saint Alphonse;Halluin;059;59279;Nord;Lille;50.774318440147276,3.1444906734231184
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59636;WAMBRECHIES;0594130U;privé sous contrat;128.1;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49784.0;Ecole primaire privée La Providence;Wambrechies;059;59636;Nord;Lille;50.68846831885495,3.057680649300846
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59350;LILLE;0594199U;public;78.1;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49811.0;Ecole élémentaire Lakanal - Madame Campan;Lille;059;59350;Nord;Lille;50.627931938564295,3.0894000384381646
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59637;WANDIGNIES HAMAGE;0594224W;public;108.7;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49831.0;Ecole primaire;Wandignies-Hamage;059;59637;Nord;Lille;50.39946940859274,3.3158200194126914
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59158;COUTICHES;0594266S;public;122.3;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49841.0;Ecole primaire Léon Lambert;Coutiches;059;59158;Nord;Lille;50.453330823584956,3.1999206302602556
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59299;HEM;0594553D;public;115.2;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49896.0;Groupe scolaire De Lattre de Tassigny;Hem;059;59299;Nord;Lille;50.65718226702787,3.195760346601433
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59507;RONCHIN;0594605K;public;97.4;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49922.0;Ecole élémentaire Guy Mollet;Ronchin;059;59507;Nord;Lille;50.60027564786469,3.0874006428515153
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59156;COURCHELETTES;0594619A;public;93.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49929.0;Ecole élémentaire Oscar Lamy;Courchelettes;059;59156;Nord;Lille;50.341564026122775,3.057939733080739
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59360;LOOS;0594939Y;public;102.1;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49988.0;Ecole élémentaire Curie - Michelet;Loos;059;59360;Nord;Lille;50.60887704393624,3.0163700605015373
