rentree_scolaire;code_region;region;code_de_l_academie;academie;code_du_departement;departement;code_insee_de_la_commune;nom_de_la_commune;uai;secteur;ips;ips_national_prive;ips_national_public;ips_national;ips_academique_prive;ips_academique_public;ips_academique;ips_departemental_prive;ips_departemental_public;ips_departemental;num_ligne;appellation_officielle;libelle_commune;code_departement;code_commune;libelle_departement;libelle_academie;position
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62128;BIACHE SAINT VAAST;0620744X;public;99.3;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51023.0;Ecole élémentaire Groupe la Fontaine;Biache-Saint-Vaast;062;62128;Pas-de-Calais;Lille;50.31290976060826,2.9394305057451278
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62317;ETAING;0620752F;public;97.3;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51025.0;Ecole primaire;Etaing;062;62317;Pas-de-Calais;Lille;50.27602619821677,3.0018998671278396
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62566;MENNEVILLE;0620894K;public;96.1;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51057.0;Ecole primaire RPI des deux monts (RPI 153);Menneville;062;62566;Pas-de-Calais;Lille;50.6747298277969,1.8615002407344654
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62366;GAUCHIN LEGAL;0620947T;public;;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51069.0;Ecole élémentaire RPI 104;Gauchin-Légal;062;62366;Pas-de-Calais;Lille;50.415438386323586,2.5809904725714197
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62617;NOEUX LES MINES;0620981E;public;90.8;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51078.0;Ecole élémentaire Louis Pergaud;Noeux-les-Mines;062;62617;Pas-de-Calais;Lille;50.48276485793978,2.6612102888403952
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62516;LILLERS;0621022Z;public;92.2;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51087.0;Ecole primaire Les Sources;Lillers;062;62516;Pas-de-Calais;Lille;50.579363783878144,2.466873874862699
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62498;LENS;0621349E;public;69.6;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51173.0;Ecole élémentaire Sophie Berthelot;Lens;062;62498;Pas-de-Calais;Lille;50.43884619730412,2.814029836067796
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62669;PRESSY;0621828A;public;99.1;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51287.0;Ecole élémentaire du Donjon RPI 124;Pressy;062;62669;Pas-de-Calais;Lille;50.47516895590703,2.3962693193501194
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62113;BERLES MONCHEL;0621902F;public;101.0;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51313.0;Ecole élémentaire des Hauts de Scarpe RPI 14;Berles-Monchel;062;62113;Pas-de-Calais;Lille;50.34562465085839,2.537289698390539
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62560;MARQUISE;0622645N;privé sous contrat;115.8;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51411.0;Ecole primaire privée Sainte Thérèse;Marquise;062;62560;Pas-de-Calais;Lille;50.81314199111447,1.7059097122148221
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62612;NEUVIREUIL;0622673U;privé sous contrat;120.6;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51426.0;Ecole primaire privée Sainte Thérèse;Neuvireuil;062;62612;Pas-de-Calais;Lille;50.35090033637604,2.9094499704153596
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62451;HEUCHIN;0622780K;public;;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51478.0;Ecole primaire RPI 115;Heuchin;062;62451;Pas-de-Calais;Lille;50.474337349108545,2.2679805476074595
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62001;ABLAIN SAINT NAZAIRE;0622990N;public;113.0;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51530.0;Ecole primaire des Verts Monts;Ablain-Saint-Nazaire;062;62001;Pas-de-Calais;Lille;50.39278075310535,2.7126595642985114
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62277;DROCOURT;0623147J;public;73.3;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51557.0;Ecole primaire Maurice Thorez;Drocourt;062;62277;Pas-de-Calais;Lille;50.39689583740511,2.934349591938647
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62119;BETHUNE;0623405P;public;85.6;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51592.0;Ecole élémentaire Jules Michelet;Béthune;062;62119;Pas-de-Calais;Lille;50.52579748912527,2.6475906829793905
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62737;SAINS EN GOHELLE;0623897Z;public;96.0;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51734.0;Ecole élémentaire Jaurès-Curie;Sains-en-Gohelle;062;62737;Pas-de-Calais;Lille;50.448121921804564,2.6840101976569133
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59024;AUBERCHICOURT;0595836Y;public;90.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50097.0;Groupe scolaire élémentaire Louise Michel - Pierre-Gilles de Gennes;Auberchicourt;059;59024;Nord;Lille;50.33175198990467,3.234400293937264
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59032;AULNOY LEZ VALENCIENNES;0595925V;public;99.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50098.0;Ecole primaire Jules Ferry;Aulnoy-lez-Valenciennes;059;59032;Nord;Lille;50.332128623671686,3.530300391479106
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59160;CRESPIN;0595929Z;public;84.2;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50101.0;Ecole élémentaire Centre-Parc-Bellevue;Crespin;059;59160;Nord;Lille;50.41641563174804,3.6602500422100914
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59650;WATTRELOS;0595942N;public;77.9;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50110.0;Ecole primaire Pierre Brossolette;Wattrelos;059;59650;Nord;Lille;50.70211918991136,3.236850262964797
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59212;ESTAIRES;0595977B;privé sous contrat;100.9;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50114.0;Ecole primaire privée Notre-Dame de Lourdes;Estaires;059;59212;Nord;Lille;50.64669210160703,2.720543253424862
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59606;VALENCIENNES;0596018W;privé sous contrat;121.2;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50125.0;Ecole primaire privée Marie-Immaculée;Valenciennes;059;59606;Nord;Lille;50.353832849202036,3.5230698333004016
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59606;VALENCIENNES;0596213H;public;73.6;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50142.0;Ecole élémentaire Jean Moulin;Valenciennes;059;59606;Nord;Lille;50.369256439112256,3.516590083640256
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59084;BLARINGHEM;0596375J;public;101.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50163.0;Ecole primaire Lino Ventura;Blaringhem;059;59084;Nord;Lille;50.68992986782826,2.404760178052728
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59130;CAPPELLE BROUCK;0596391B;public;87.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50167.0;Ecole primaire;Cappelle-Brouck;059;59130;Nord;Lille;50.90275343377283,2.2218906077545584
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59586;TEMPLEUVE EN PEVELE;0596492L;privé sous contrat;131.7;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50192.0;Ecole primaire privée Saint Martin;Templeuve-en-Pévèle;059;59586;Nord;Lille;50.52551846262654,3.1715694206838503
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59271;GRANDE SYNTHE;0596545U;public;80.3;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50223.0;Ecole primaire Francisco Ferrer;Grande-Synthe;059;59271;Nord;Lille;51.00324279983775,2.2955202146108005
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59437;NOYELLES LES SECLIN;0596585M;public;121.7;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50226.0;Ecole primaire publique Alphonse Theeten;Noyelles-lès-Seclin;059;59437;Nord;Lille;50.57658175490166,3.011370074601032
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59491;RAISMES;0596635S;public;72.4;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50239.0;Ecole primaire publique Anatole France;Raismes;059;59491;Nord;Lille;50.40152798212484,3.514330332745139
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59541;SAINT PYTHON;0595040H;public;96.6;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50027.0;Ecole primaire;Saint-Python;059;59541;Nord;Lille;50.19248137374553,3.480769550177401
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59009;VILLENEUVE D ASCQ;0595057B;public;75.4;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50032.0;Ecole élémentaire Bossuet;Villeneuve-d'Ascq;059;59009;Nord;Lille;50.624513214967386,3.1260395195034802
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59021;ASSEVENT;0595227L;public;93.0;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50046.0;Groupe scolaire Michel Lo Giaco;Assevent;059;59021;Nord;Lille;50.28712679606378,4.019445195581059
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59359;LOON PLAGE;0595441U;public;95.1;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50071.0;Ecole primaire Gérard Philipe;Loon-Plage;059;59359;Nord;Lille;50.987661842181936,2.222270390578722
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59560;SECLIN;0595505N;public;107.1;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50078.0;Ecole élémentaire Jules Verne niveau 2;Seclin;059;59560;Nord;Lille;50.55010378873742,3.032879369867384
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59512;ROUBAIX;0595602U;public;76.4;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50081.0;Ecole primaire François Villon;Roubaix;059;59512;Nord;Lille;50.69322800427136,3.172750515840762
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59043;BAILLEUL;0595606Y;public;102.0;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50084.0;Ecole primaire Charles de Coster - Thyl l'Espiègle;Bailleul;059;59043;Nord;Lille;50.73047813720252,2.7243895491170056
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59038;AVESNES LE SEC;0596204Y;public;101.7;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50134.0;Ecole primaire Louis Aragon;Avesnes-le-Sec;059;59038;Nord;Lille;50.24911017828208,3.3764204453293685
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59295;HAZEBROUCK;0596381R;public;78.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50166.0;Ecole primaire Lucie Aubrac;Hazebrouck;059;59295;Nord;Lille;50.72175785599704,2.532860095077601
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59481;LE QUESNOY;0596425N;public;103.6;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50176.0;Ecole élémentaire Chevray;Le Quesnoy;059;59481;Nord;Lille;50.247755775810056,3.6410194159929468
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59392;MAUBEUGE;0596428S;public;71.6;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50178.0;Groupe scolaire Andersen Hugo;Maubeuge;059;59392;Nord;Lille;50.27821363705605,3.9412495865508035
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59279;HALLUIN;0596500V;public;98.0;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50198.0;Ecole primaire Anne Franck - Jean Moulin;Halluin;059;59279;Nord;Lille;50.778637444208506,3.1126100236137297
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59426;NEUVILLE EN FERRAIN;0596531D;public;109.5;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50218.0;Groupe scolaire Ambroise Paré;Neuville-en-Ferrain;059;59426;Nord;Lille;50.74844202857334,3.159530580646388
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59015;ARLEUX;0596621B;public;100.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50231.0;Ecole primaire publique Docteur Bouly-Marius Richard;Arleux;059;59015;Nord;Lille;50.27982105328776,3.1025795302482027
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59606;VALENCIENNES;0596632N;public;108.6;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50237.0;Ecole élémentaire Les Acacias;Valenciennes;059;59606;Nord;Lille;50.35901961741409,3.508419977025725
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59574;SOMAIN;0597056Z;privé sous contrat;108.4;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;50263.0;Ecole primaire privée Notre Dame de la Renaissance;Somain;059;59574;Nord;Lille;50.34202536852681,3.2809603337422146
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62272;DOUCHY LES AYETTE;0620581V;public;;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;50982.0;Ecole élémentaire RPI 5;Douchy-lès-Ayette;062;62272;Pas-de-Calais;Lille;50.17623266569884,2.7173294927766243
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62341;FONCQUEVILLERS;0620640J;public;97.2;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;50997.0;Ecole élémentaire RPI 24;Foncquevillers;062;62341;Pas-de-Calais;Lille;50.14884904777878,2.6318102905320946
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62178;BRUAY LA BUISSIERE;0620928X;public;103.0;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51064.0;Ecole élémentaire Centre;Bruay-la-Buissière;062;62178;Pas-de-Calais;Lille;50.48819001642426,2.5677997391311402
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62654;PEUPLINGUES;0621070B;public;103.7;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51099.0;Ecole élémentaire Georges Brassens RPI 121;Peuplingues;062;62654;Pas-de-Calais;Lille;50.915737842896114,1.7689096632638757
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62852;VIEILLE EGLISE;0621104N;public;99.1;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51109.0;Ecole élémentaire Dominique Pourre RPI 30;Vieille-Eglise;062;62852;Pas-de-Calais;Lille;50.929058229019866,2.0763999795299917
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62545;MANINGHEM;0621223T;public;;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51143.0;Ecole élémentaire RPI 69;Maninghem;062;62545;Pas-de-Calais;Lille;50.54863367807617,1.9343297013965666
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62643;OUTREAU;0621253A;public;92.6;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51152.0;Ecole élémentaire d'application Jean Jaurès;Outreau;062;62643;Pas-de-Calais;Lille;50.708647780904734,1.5939797335568848
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62570;MERICOURT;0621433W;public;89.0;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51198.0;Ecole élémentaire Louis Pasteur;Méricourt;062;62570;Pas-de-Calais;Lille;50.39990886789627,2.861759980282537
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62854;VILLERS AU BOIS;0621448M;public;121.9;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51201.0;Ecole élémentaire RPI 82;Villers-au-Bois;062;62854;Pas-de-Calais;Lille;50.3736739484833,2.671659356736372
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62706;RICHEBOURG;0621483A;public;110.8;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51208.0;Groupe Scolaire Marcel Lejosne;Richebourg;062;62706;Pas-de-Calais;Lille;50.57305863313393,2.744610084707534
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62895;WINGLES;0621536H;public;80.7;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51215.0;Ecole élémentaire Sophie Berthelot;Wingles;062;62895;Pas-de-Calais;Lille;50.49298061026013,2.8497101027866085
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62018;AIX EN ISSART;0621582H;public;99.7;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51232.0;Ecole élémentaire RPI 44;Aix-en-Issart;062;62018;Pas-de-Calais;Lille;50.47547975419569,1.856950463483025
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62760;SAINT MARTIN D HARDINGHEM;0621768K;public;84.6;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51279.0;Ecole élémentaire RPI 141;Saint-Martin-d'Hardinghem;062;62760;Pas-de-Calais;Lille;50.6046054310233,2.0953203926650623
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62271;DOHEM;0621850Z;public;101.6;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51295.0;Ecole primaire Centre;Dohem;062;62271;Pas-de-Calais;Lille;50.6384967529107,2.186760300169313
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62837;VAUDRINGHEM;0621875B;public;87.6;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51304.0;Ecole élémentaire RPI 130;Vaudringhem;062;62837;Pas-de-Calais;Lille;50.6619128347084,2.0293602537967925
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62518;LINZEUX;0622048P;public;;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51343.0;Ecole élémentaire RPI 33;Linzeux;062;62518;Pas-de-Calais;Lille;50.34253769066819,2.199580526774515
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62250;COURRIERES;0622253M;public;81.1;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51350.0;Ecole élémentaire Joliot-Curie;Courrières;062;62250;Pas-de-Calais;Lille;50.46188245716282,2.9497505538817492
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62297;EPERLECQUES;0622626T;privé sous contrat;106.7;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51403.0;Ecole primaire privée Saint Joseph;Eperlecques;062;62297;Pas-de-Calais;Lille;50.80462474829314,2.1522198389763636
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62624;NOYELLES GODAULT;0622675W;privé sous contrat;113.7;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51428.0;Ecole primaire privée Sacré-Coeur - Notre Dame;Noyelles-Godault;062;62624;Pas-de-Calais;Lille;50.419912653095146,2.9937403792998443
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62041;ARRAS;0622851M;public;81.0;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51494.0;Ecole primaire Herriot - Viart;Arras;062;62041;Pas-de-Calais;Lille;50.2736001118902,2.7885796115507264
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62004;ACHICOURT;0623030G;public;107.6;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51537.0;Ecole élémentaire Léopold Sedar Senghor;Achicourt;062;62004;Pas-de-Calais;Lille;50.27448360944272,2.7596695603003494
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62907;LIBERCOURT;0623443F;public;86.8;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51618.0;Ecole primaire Jean Jaurès;Libercourt;062;62907;Pas-de-Calais;Lille;50.4794639415126,3.000730097132979
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62427;HENIN BEAUMONT;0623505Y;public;78.9;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51637.0;Ecole élémentaire Jules Michelet;Hénin-Beaumont;062;62427;Pas-de-Calais;Lille;50.41151094011601,2.943789391624513
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62773;SAMER;0623517L;public;95.6;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51647.0;Ecole élémentaire Lucien Coustès;Samer;062;62773;Pas-de-Calais;Lille;50.63752290495415,1.7455805203877126
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62269;DIEVAL;0623523T;public;88.5;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51653.0;Ecole primaire;Diéval;062;62269;Pas-de-Calais;Lille;50.435417727058905,2.449550205954388
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62400;HAILLICOURT;0623530A;public;86.1;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51657.0;Ecole primaire Pasteur - Les Cigognes;Haillicourt;062;62400;Pas-de-Calais;Lille;50.47501587493007,2.5860597253323863
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62440;HERMIES;0623956N;public;85.1;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51745.0;Ecole primaire Pierre Mendès France;Hermies;062;62440;Pas-de-Calais;Lille;50.11199725530481,3.037190275273603
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62893;WIMEREUX;0624122U;public;123.3;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51777.0;Ecole élémentaire Alain Fournier;Wimereux;062;62893;Pas-de-Calais;Lille;50.77114190486764,1.6123794016753523
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;62;PAS-DE-CALAIS;62600;NEDON;0624211R;public;100.7;120.3;102.9;105.5;118.2;93.2;98.2;114.7;91.2;94.5;51797.0;Ecole élémentaire Joseph Larde RPI 112;Nédon;062;62600;Pas-de-Calais;Lille;50.52465865108706,2.3692298708521244
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59009;VILLENEUVE D ASCQ;0590180A;public;66.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;48991.0;Ecole élémentaire Jean Mermoz;Villeneuve-d'Ascq;059;59009;Nord;Lille;50.619144699887315,3.14572015382865
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59043;BAILLEUL;0590312U;public;96.5;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;48995.0;Ecole élémentaire Pasteur;Bailleul;059;59043;Nord;Lille;50.73262835707762,2.7386604528541296
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59178;DOUAI;0590373K;public;80.1;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49010.0;Ecole primaire Lemaire - Tour des Dames;Douai;059;59178;Nord;Lille;50.37762043042853,3.077889828502511
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59178;DOUAI;0590382V;public;76.6;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49014.0;Ecole régionale du premier degré Bateliers et Forains - Internat d'excellence de DOUAI;Douai;059;59178;Nord;Lille;50.37881846120339,3.0727799504336923
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59049;BANTOUZELLE;0590599F;public;93.6;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49052.0;Ecole élémentaire niveau 2 RPI 3;Bantouzelle;059;59049;Nord;Lille;50.06313805831816,3.2076693365519873
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59058;BEAUFORT;0590622F;public;90.3;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49057.0;Ecole élémentaire d'Auffignies Niveau 2;Beaufort;059;59058;Nord;Lille;50.21559161079218,3.966329817578237
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59079;BEUVRAGES;0590660X;public;77.2;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49062.0;Ecole élémentaire Jules Ferry;Beuvrages;059;59079;Nord;Lille;50.38764032424757,3.5070203555372066
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59192;EMERCHICOURT;0590986B;public;99.5;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49140.0;Ecole primaire Louis Aragon;Emerchicourt;059;59192;Nord;Lille;50.31282503045885,3.254250532127019
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59220;FACHES THUMESNIL;0591128F;public;113.8;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49169.0;Ecole élémentaire Louise de Bettignies;Faches-Thumesnil;059;59220;Nord;Lille;50.591265597359325,3.075519530312993
2023-2024;9;HAUTS-DE-FRANCE;9;LILLE;59;NORD;59275;GRUSON;0591302V;public;135.1;120.3;102.9;105.5;118.2;93.2;98.2;119.4;94.4;100.2;49202.0;Ecole primaire Pasteur;Gruson;059;59275;Nord;Lille;50.59634565818303,3.204740640162481
