Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS
2016-2017;LILLE;059;NORD;0593855V;ECOLE PRIMAIRE PRIVEE ND DES PETITS ET DE LA CONSOLATION;59599;TOURCOING;privé sous contrat;94.6
2016-2017;LILLE;059;NORD;0593862C;ECOLE PRIMAIRE PRIVEE NOTRE DAME DE LA MARLIERE;59599;TOURCOING;privé sous contrat;88.7
2016-2017;LILLE;059;NORD;0593879W;ECOLE PRIMAIRE PRIVEE NOTRE DAME;59641;WARHEM;privé sous contrat;108.1
2016-2017;LILLE;059;NORD;0593880X;ECOLE PRIMAIRE PRIVEE SAINT EDMOND;59646;WASQUEHAL;privé sous contrat;123.1
2016-2017;LILLE;059;NORD;0593899T;ECOLE PRIMAIRE PRIVEE JEANNE D ARC;59368;LA MADELEINE;privé sous contrat;120.3
2016-2017;LILLE;059;NORD;0593902W;ECOLE PRIMAIRE PRIVEE SAINTE THERESE;59375;MARCHIENNES;privé sous contrat;127.0
2016-2017;LILLE;059;NORD;0593909D;ECOLE PRIMAIRE PRIVEE NOTRE DAME DU TILLEUL;59392;MAUBEUGE;privé sous contrat;66.0
2016-2017;LILLE;059;NORD;0593922T;ECOLE PRIMAIRE PRIVEE NOTRE DAME DU SACRE COEUR;59479;QUAROUBLE;privé sous contrat;102.9
2016-2017;LILLE;059;NORD;0593953B;ECOLE PRIMAIRE PRIVEE SACRE COEUR;59350;LILLE;privé sous contrat;93.1
2016-2017;LILLE;059;NORD;0593982H;ECOLE PRIMAIRE PRIVEE SAINT AIGNAN;59378;MARCQ EN BAROEUL;privé sous contrat;142.7
2016-2017;LILLE;059;NORD;0594002E;ECOLE PRIMAIRE PRIVEE SAINTE CLAIRE D ASSISE;59183;DUNKERQUE;privé sous contrat;128.4
2016-2017;LILLE;059;NORD;0594017W;ECOLE PRIMAIRE PRIVEE SAINTE PHILOMENE;59256;FRETIN;privé sous contrat;115.5
2016-2017;LILLE;059;NORD;0594026F;ECOLE PRIMAIRE PRIVEE NOTRE DAME DES FIEVRES;59279;HALLUIN;privé sous contrat;89.7
2016-2017;LILLE;059;NORD;0594030K;ECOLE PRIMAIRE PRIVEE LA SAGESSE ST MICHEL;59286;HAUBOURDIN;privé sous contrat;108.3
2016-2017;LILLE;059;NORD;0594047D;ECOLE PRIMAIRE PRIVEE SAINT CHARLES;59431;NIEPPE;privé sous contrat;96.8
2016-2017;LILLE;059;NORD;0594053K;ECOLE PRIMAIRE PRIVEE NOTRE DAME;59477;PROVIN;privé sous contrat;113.3
2016-2017;LILLE;059;NORD;0594058R;ECOLE PRIMAIRE PRIVEE SAINT REMY;59504;ROEULX;privé sous contrat;99.6
2016-2017;LILLE;059;NORD;0594063W;ECOLE PRIMAIRE PRIVEE SAINT ROCH;59508;RONCQ;privé sous contrat;117.9
2016-2017;LILLE;059;NORD;0594081R;ECOLE PRIMAIRE PRIVEE SAINT JOSEPH;59523;SAINGHIN EN MELANTOIS;privé sous contrat;142.8
2016-2017;LILLE;059;NORD;0594085V;ECOLE PRIMAIRE PRIVEE SAINT JOSEPH;59535;SAINT JANS CAPPEL;privé sous contrat;127.1
2016-2017;LILLE;059;NORD;0594092C;ECOLE PRIMAIRE PRIVEE NOTRE DAME DE LOURDES;59580;STEENVOORDE;privé sous contrat;120.4
2016-2017;LILLE;059;NORD;0594104R;ECOLE PRIMAIRE PRIVEE SAINT CHRISTOPHE;59599;TOURCOING;privé sous contrat;75.3
2016-2017;LILLE;059;NORD;0594122K;ECOLE PRIMAIRE PRIVEE SAINTE MARIE;59611;VERLINGHEM;privé sous contrat;123.1
2016-2017;LILLE;059;NORD;0594129T;ECOLE PRIMAIRE PRIVEE SAINT VAAST ROBERSART;59636;WAMBRECHIES;privé sous contrat;124.7
2016-2017;LILLE;059;NORD;0594192L;ECOLE PRIMAIRE JEAN MACE;59295;HAZEBROUCK;public;95.3
2016-2017;LILLE;059;NORD;0594194N;ECOLE PRIMAIRE VICTOR HUGO;59316;HOUPLIN ANCOISNE;public;112.2
