Rentrée scolaire;Code région;Région;Code de l'académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;num_ligne
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62889;WIERRE EFFROY;0620863B;ECOLE PRIMAIRE LA SCIERIE;public;110.9;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18685.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62758;SAINT MARTIN BOULOGNE;0620873M;ECOLE ELEMENTAIRE JEAN ROSTAND;public;72.1;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18686.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62758;SAINT MARTIN BOULOGNE;0620874N;ECOLE ELEMENTAIRE ISABELLE NACRY;public;87.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18687.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62179;BRUNEMBERT;0620883Y;ECOLE ELEMENTAIRE RPI 80;public;95.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18688.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62230;COLEMBERT;0620884Z;ECOLE PRIMAIRE;public;103.6;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18689.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62251;COURSET;0620885A;ECOLE ELEMENTAIRE RPI 156;public;93.8;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18690.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62268;DESVRES;0620888D;ECOLE ELEMENTAIRE JEHAN MOLINET;public;75.7;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18691.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62429;HENNEVEUX;0620889E;ECOLE ELEMENTAIRE DE LA GRANDE VALLEE RPI 46;public;98.7;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18692.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62880;LE WAST;0620890F;ECOLE ELEMENTAIRE RPI 2;public;108.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18693.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62524;LONGFOSSE;0620891G;ECOLE PRIMAIRE;public;85.6;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18694.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62530;LOTTINGHEN;0620893J;ECOLE PRIMAIRE RPI 78;public;90.7;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18695.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62566;MENNEVILLE;0620894K;ECOLE PRIMAIRE RPI 153;public;96.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18696.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62786;SELLES;0620899R;ECOLE ELEMENTAIRE RPI 78;public;NS;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18697.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62853;VIEIL MOUTIER;0620901T;ECOLE ELEMENTAIRE RPI 45;public;93.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18698.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62896;WIRWIGNES;0620903V;ECOLE ELEMENTAIRE VAL DE LIANE RPI 88;public;102.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18699.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62127;BEZINGHEM;0620906Y;ECOLE ELEMENTAIRE RPI 71;public;100.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18700.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62178;BRUAY LA BUISSIERE;0620928X;ECOLE ELEMENTAIRE CENTRE;public;98.7;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18701.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62178;BRUAY LA BUISSIERE;0620929Y;ECOLE ELEMENTAIRE LES HAYETTES;public;102.8;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18702.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62314;ESTREE CAUCHY;0620942M;ECOLE PRIMAIRE;public;NS;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18703.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62356;FRESNICOURT LE DOLMEN;0620945R;ECOLE PRIMAIRE JEAN MOULIN REGROUPEMENT PEDAGOGIQUE INTERCOMMUNAL CONCENTRE (RPC) DE FRESNICOURT LE DOLMEN;public;102.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18704.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62441;HERMIN;0620948U;ECOLE ELEMENTAIRE RPI 104;public;105.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18705.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62083;BARLIN;0620967P;ECOLE PRIMAIRE JEAN MACE;public;82.7;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18706.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62083;BARLIN;0620970T;ECOLE ELEMENTAIRE LOUIS PASTEUR;public;79.6;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18707.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62083;BARLIN;0620971U;ECOLE ELEMENTAIRE JULES FERRY;public;92.1;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18708.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62083;BARLIN;0620972V;ECOLE ELEMENTAIRE MARYSE BASTIE;public;77.7;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18709.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62278;DROUVIN LE MARAIS;0620973W;ECOLE PRIMAIRE DU WACRET;public;99.6;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18710.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62456;HOUCHIN;0620978B;ECOLE PRIMAIRE LES FONTINETTES;public;100;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18711.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62836;VAUDRICOURT;0620980D;ECOLE PRIMAIRE LES MARCASSINS;public;126.9;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18712.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62617;NOEUX LES MINES;0620981E;ECOLE ELEMENTAIRE LOUIS PERGAUD;public;93.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18713.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62617;NOEUX LES MINES;0620983G;ECOLE ELEMENTAIRE SAINT EXUPERY;public;82.7;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18714.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62617;NOEUX LES MINES;0620985J;ECOLE PRIMAIRE SUZANNE BLIN;public;68;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18715.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62851;VIEILLE CHAPELLE;0620986K;ECOLE PRIMAIRE DES DEUX RIVIERES;public;103.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18716.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62252;LA COUTURE;0620994U;ECOLE PRIMAIRE DU CENTRE ANTOINE DE SAINT EXUPERY;public;108.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18717.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62747;SAINT FLORIS;0621014R;ECOLE PRIMAIRE JEAN DE LA FONTAINE;public;108.6;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18718.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62516;LILLERS;0621019W;ECOLE ELEMENTAIRE JACQUES PREVERT;public;71.9;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18719.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62516;LILLERS;0621020X;ECOLE ELEMENTAIRE ROBERT DESNOS;public;85.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18720.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62516;LILLERS;0621021Y;ECOLE PRIMAIRE DELEHAYE LES MOULINS;public;109.5;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18721.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62516;LILLERS;0621022Z;ECOLE PRIMAIRE LES SOURCES;public;91.8;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18722.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62020;ALEMBON;0621025C;ECOLE PRIMAIRE;public;102.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18723.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62031;ANDRES;0621027E;ECOLE PRIMAIRE LES SOURCES BLEUES;public;100.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18724.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62161;BOUQUEHAULT;0621028F;ECOLE PRIMAIRE;public;88.8;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18725.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62191;CAFFIERS;0621030H;ECOLE PRIMAIRE;public;85.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18726.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62334;FIENNES;0621032K;ECOLE PRIMAIRE JEAN DE FIENNES;public;91.3;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18727.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62408;HAMES BOUCRES;0621039T;ECOLE PRIMAIRE LES FLOTS;public;91.9;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18728.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62657;PIHEN LES GUINES;0621048C;ECOLE PRIMAIRE;public;112.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18729.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0621050E;ECOLE PRIMAIRE PORTE DE PARIS;public;68.1;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18730.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0621052G;ECOLE PRIMAIRE CONDE LES CAILLOUX;public;80.3;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18731.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0621060R;ECOLE PRIMAIRE DE L ESPLANADE;public;118.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18732.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62156;BONNINGUES LES CALAIS;0621063U;ECOLE PRIMAIRE;public;NS;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18733.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62654;PEUPLINGUES;0621070B;ECOLE ELEMENTAIRE GEORGES BRASSENS RPI 121;public;100.3;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18734.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62769;SAINT TRICAT;0621071C;ECOLE PRIMAIRE MIXTE;public;97.9;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18735.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0621079L;ECOLE ELEMENTAIRE CHATEAUBRIAND;public;84.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18736.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0621081N;ECOLE ELEMENTAIRE LOUISE POLLET;public;78.7;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18737.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62634;OFFEKERQUE;0621091Z;ECOLE PRIMAIRE GEORGES BRASSENS;public;89.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18738.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62645;OYE PLAGE;0621093B;ECOLE ELEMENTAIRE DES DUNES D OYE;public;98.1;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18739.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62645;OYE PLAGE;0621094C;ECOLE PRIMAIRE L ETOILE;public;99.9;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18740.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62662;POLINCOVE;0621095D;ECOLE PRIMAIRE;public;95.3;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18741.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62748;SAINT FOLQUIN;0621098G;ECOLE PRIMAIRE JACQUES BREL;public;110.3;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18742.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62766;SAINT OMER CAPELLE;0621103M;ECOLE PRIMAIRE COMMANDANT COUSTEAU;public;106.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18743.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62852;VIEILLE EGLISE;0621104N;ECOLE ELEMENTAIRE DOMINIQUE POURRE;public;97;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18744.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62087;BAYENGHEM LES EPERLECQUES;0621116B;ECOLE PRIMAIRE;public;105.9;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18745.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62155;BONNINGUES LES ARDRES;0621117C;ECOLE ELEMENTAIRE DE LA HEM RPI 128;public;83.9;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18746.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62174;BREMES;0621118D;ECOLE PRIMAIRE JACQUES PREVERT;public;100.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18747.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62488;LANDRETHUN LES ARDRES;0621124K;ECOLE PRIMAIRE DES LILAS;public;104;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18748.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62531;LOUCHES;0621125L;ECOLE PRIMAIRE DES PETITS ARTISTES RPI 143;public;92.9;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18749.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62567;MENTQUE NORTBECOURT;0621126M;ECOLE ELEMENTAIRE RPI 144;public;88.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18750.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62598;MUNCQ NIEURLET;0621127N;ECOLE ELEMENTAIRE RIVE DE LA HEM RPI 151;public;89.5;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18751.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62618;NORDAUSQUES;0621129R;ECOLE PRIMAIRE;public;90.7;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18752.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62699;RECQUES SUR HEM;0621132U;ECOLE PRIMAIRE PUBLIQUE RIVE DE LA HEM RPI 151;public;NS;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18753.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0621137Z;ECOLE PRIMAIRE ARCHIMEDE;public;82.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18754.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0621138A;ECOLE PRIMAIRE HONORE DE BALZAC NOUVELLE FRANCE;public;82.6;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18755.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0621139B;ECOLE PRIMAIRE BEAUMARAIS;public;74.7;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18756.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0621140C;GROUPE SCOLAIRE SAINT EXUPERY;public;67.5;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18757.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0621141D;ECOLE PRIMAIRE DELAROCHE;public;89.1;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18758.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0621142E;ECOLE PRIMAIRE WASHINGTON;public;75.7;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18759.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0621143F;ECOLE PRIMAIRE LA FONTAINE MALHERBE;public;80;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18760.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0621145H;ECOLE PRIMAIRE VIRVAL;public;91.8;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18761.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62244;COULOGNE;0621152R;ECOLE ELEMENTAIRE CENTRE;public;106.1;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18762.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62237;CONTEVILLE LES BOULOGNE;0621163C;ECOLE PRIMAIRE RPI 100;public;115.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18763.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62160;BOULOGNE SUR MER;0621170K;ECOLE ELEMENTAIRE CARY SAUVAGE;public;79.5;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18764.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62160;BOULOGNE SUR MER;0621174P;ECOLE ELEMENTAIRE LOUIS BLANC;public;65.8;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18765.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62160;BOULOGNE SUR MER;0621181X;ECOLE ELEMENTAIRE FRANCOIS ARAGO;public;64.3;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18766.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62160;BOULOGNE SUR MER;0621184A;ECOLE ELEMENTAIRE DESEILLE;public;66.7;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18767.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62160;BOULOGNE SUR MER;0621185B;ECOLE ELEMENTAIRE DUCHENNE QUINET;public;77.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18768.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62052;AUDEMBERT;0621189F;ECOLE ELEMENTAIRE RPI 81;public;117.5;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18769.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62054;AUDINGHEN;0621190G;ECOLE PRIMAIRE LE VILLAGE RPI 101;public;113;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18770.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62056;AUDRESSELLES;0621191H;ECOLE PRIMAIRE LES FLOBARTS;public;91.5;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18771.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62444;HERVELINGHEN;0621198R;ECOLE ELEMENTAIRE RPI 105;public;104.6;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18772.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62487;LANDRETHUN LE NORD;0621199S;ECOLE PRIMAIRE LE VILLAGE;public;92.3;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18773.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62505;LEULINGHEN BERNES;0621200T;ECOLE PRIMAIRE JACQUES PREVERT;public;100.2;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18774.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62560;MARQUISE;0621203W;ECOLE ELEMENTAIRE DES CARRIERES;public;107.6;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18775.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62296;ENQUIN SUR BAILLONS;0621217L;ECOLE ELEMENTAIRE DES BALLONS RPI 70;public;93;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18776.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62729;RUMILLY;0621227X;ECOLE ELEMENTAIRE RPI 79;public;87.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18777.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62886;WICQUINGHEM;0621231B;ECOLE ELEMENTAIRE RPI 69;public;106.9;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18778.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62021;ALETTE;0621237H;ECOLE ELEMENTAIRE LA BIMOISE RPI 29;public;95.7;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18779.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62102;BECOURT;0621238J;ECOLE ELEMENTAIRE RPI 92;public;93.6;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18780.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62300;EQUIHEN PLAGE;0621244R;ECOLE PRIMAIRE JEAN MACE FERDINAND BUISSON;public;85.9;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18781.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62402;HALINGHEN;0621245S;ECOLE ELEMENTAIRE RPI 102;public;95.3;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18782.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62446;HESDIGNEUL LES BOULOGNE;0621246T;ECOLE PRIMAIRE;public;NS;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18783.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62643;OUTREAU;0621253A;ECOLE ELEMENTAIRE D APPLICATION JEAN JAURES;public;90.8;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18784.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62667;LE PORTEL;0621258F;ECOLE ELEMENTAIRE ARISTIDE VALLOIS;public;78.1;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18785.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62667;LE PORTEL;0621260H;ECOLE PRIMAIRE CAMUS PASTEUR CALMETTE;public;78.6;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18786.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62746;SAINT ETIENNE AU MONT;0621263L;GROUPE SCOLAIRE FERRY HUGO;public;81.4;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18787.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62746;SAINT ETIENNE AU MONT;0621265N;ECOLE PRIMAIRE D ECAULT;public;94.6;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18788.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62821;TINGRY;0621270U;ECOLE ELEMENTAIRE RPI 72;public;97.5;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18789.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62133;BILLY MONTIGNY;0621274Y;ECOLE PRIMAIRE VOLTAIRE;public;76.3;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18790.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62133;BILLY MONTIGNY;0621276A;ECOLE ELEMENTAIRE ROBERT DOISNEAU;public;81.3;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18791.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62249;COURCELLES LES LENS;0621277B;ECOLE ELEMENTAIRE ROGER SALENGRO;public;84;119.3;102.9;105.4;117;93;97.8;113.9;91;94.3;18792.0
